İLAN NO.,İL,İLÇE,MAHALLE,NİTELİK,ADA,PARSEL,M²,FİYAT(Gr. Altın),İMAR DURUMU,DURUM,HİSSE TÜRÜ,İLAN TARİHİ,AÇIKLAMA
1066,BALIKESİR,ALTIEYLÜL,ATAKÖY,ARSA,132 ADA,27 PARSEL,560 M²,250,"Hmaks: 7,5 Metre / %80 İmarlı",SATIŞTA,Tam Hisse,2023/12/07,"Balıkesir,Altıeylül-Ataköy Satılık İmarlı Köy Arsası"
1063,BALIKESİR,BANDIRMA,KAYACIK,TARLA,2568 ADA,20 PARSEL,16682 M²,"8,000","KAKS:0,50 / 2,5 Kat İmarlı",SATIŞTA,Tam Hisse,2023/12/04,Bandırma Kayacık Mahallesi: Gayrimenkul Piyasasında Göz Alıcı Bir Yatırım Fırsatı Daha…
1062,BALIKESİR,BANDIRMA,KAYACIK,TARLA,2568 ADA,52 PARSEL,21860 m²,"11,000","KAKS:0,50 / 2,5 Kat İmarlı",SATIŞTA,Tam Hisse,2023/12/02,Bandırma Kayacık Mahallesi: Gayrimenkul Piyasasında Göz Alıcı Bir Yatırım Fırsatı
1058,BALIKESİR,ALTIEYLÜL,ÇAYIRHİSAR,TARLA,130 ADA,6 PARSEL,13.934 M²,"6,000",KAPALI SPOR TESİS ALANI,SATIŞTA,Tam Hisse,2023/11/23,"Balıkesir,Altıeylül-Çayırhisar Satılık 1000’lik Plan İçerisinde"
1057,BALIKESİR,ALTIEYLÜL,GAZİOSMANPAŞA,ARSA,12809 ADA,2 PARSEL,2942 M²,"7,500",,AKTİF,,2023/11/23,BALIKESİR
1056,BALIKESİR,ALTIEYLÜL,GAZİOSMANPAŞA,ARSA,13700 ADA,2 PARSEL,4.523 M²,"6,500",,AKTİF,,2023/11/23,BALIKESİR
1055,BALIKESİR,BANDIRMA,ÇALIŞKANLAR,ARSA,175 ADA,25 PARSEL,3332 M²,"3,000",,AKTİF,,2023/11/23,BALIKESİR
1054,BALIKESİR,BANDIRMA,ÇALIŞKANLAR,ARSA,180 ADA,98 PARSEL,750 M²,"2,250","Hmaks: 7,5 Metre / %80 İmarlı",SATIŞTA,Tam Hisse,2023/12/15,"Balıkesir, Bandırma, Çalışkanlar Satılık Arsa"
1053,BALIKESİR,BANDIRMA,ÇALIŞKANLAR,ARSA,180 ADA,99 PARSEL,750 M²,"2,250",,AKTİF,,2023/11/23,BALIKESİR
1052,BALIKESİR,BANDIRMA,ÇALIŞKANLAR,ARSA,180 ADA,100 PARSEL,750 M²,"2,250",,AKTİF,,2023/11/23,BALIKESİR
1051,BALIKESİR,BANDIRMA,ÇALIŞKANLAR,ARSA,180 ADA,101 PARSEL,639 M²,"1,925",,AKTİF,,2023/11/23,BALIKESİR
1050,BALIKESİR,BANDIRMA,ÇALIŞKANLAR,TARLA,180 ADA,102 PARSEL,888 M²,875,,AKTİF,,2023/11/23,BALIKESİR
1049,BALIKESİR,BANDIRMA,KAYACIK,TARLA,2591 ADA,229 PARSEL,1311 M²,"1,000",,AKTİF,,2023/11/23,BALIKESİR
1048,BALIKESİR,BANDIRMA,KAYACIK,TARLA,2594 ADA,1 PARSEL,5560 M²,"1,375",,AKTİF,,2023/11/23,BALIKESİR
1047,BALIKESİR,BANDIRMA,ERGİLİ,TARLA,0 ADA,2231 PARSEL,1500 M²,175,,AKTİF,,2023/11/23,BALIKESİR
1046,BALIKESİR,BANDIRMA,ERGİLİ,ARSA,0 ADA,2224 PARSEL,400 M²,250,,AKTİF,,2023/11/23,BALIKESİR
1045,BALIKESİR,KARESİ,OVACIK,ARSA,114 ADA,2 PARSEL,724 M²,500,,AKTİF,,2023/11/23,BALIKESİR
1044,BALIKESİR,KARESİ,KUVAYİ MİLLİYE,ARSA,14236 ADA,6 PARSEL,290 M²,925,,AKTİF,,2023/11/23,BALIKESİR
1043,BALIKESİR,KARESİ,KUVAYİ MİLLİYE,ARSA,14236 ADA,7 PARSEL,290 M²,925,,AKTİF,,2023/11/23,BALIKESİR
1042,BALIKESİR,KARESİ,KUVAYİ MİLLİYE,ARSA,14237 ADA,1 PARSEL,315 M²,"1,050",,AKTİF,,2023/11/23,BALIKESİR
1041,BALIKESİR,KARESİ,KUVAYİ MİLLİYE,ARSA,14237 ADA,2 PARSEL,316 M²,"1,000",,AKTİF,,2023/11/23,BALIKESİR